uniprot_ac	uniprot_id	uniprot_description	organism	main_gene_name	gene_names	nber_palmitoyl_proteome_hits	nber_palmitoyl_proteome_sites	nber_palmitoyl_proteome_articles	nber_targeted_study_hits	nber_targeted_study_sites	nber_targeted_study_articles	nber_technique_categories	main_isoform_site_positions
P05556	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	Homo sapiens	ITGB1	MSK12,MDF2,FNRB,ITGB1	4	0	3	0	0	0	4	
P16144	ITB4_HUMAN	Integrin beta-4 (GP150) (CD antigen CD104)	Homo sapiens	ITGB4	ITGB4	12	5	3	11	24	4	5	732,736,738,739,742,748,749,551
Q9H0X4	F234A_HUMAN	Protein FAM234A (Protein ITFG3)	Homo sapiens	FAM234A	C16orf9,ITFG3,FAM234A	3	0	2	0	0	0	3	
O43736	ITM2A_HUMAN	Integral membrane protein 2A (Protein E25)	Homo sapiens	ITM2A	UNQ603/PRO1189,ITM2A	5	0	3	0	0	0	4	
Q9Y287	ITM2B_HUMAN	Integral membrane protein 2B (Immature BRI2) (imBRI2) (Protein E25B) (Transmembrane protein BRI) (Bri) [Cleaved into: BRI2, membrane form (Mature BRI2) (mBRI2); BRI2 intracellular domain (BRI2 ICD); BRI2C, soluble form; Bri23 peptide (Bri2-23) (ABri23) (C-terminal peptide) (P23 peptide)]	Homo sapiens	ITM2B	BRI2,BRI,ITM2B	11	2	7	1	0	1	5	38
Q9NQX7	ITM2C_HUMAN	Integral membrane protein 2C (Cerebral protein 14) (Transmembrane protein BRI3) [Cleaved into: CT-BRI3]	Homo sapiens	ITM2C	PSEC0047,NPD018,hucep-14,BRI3,ITM2C	5	0	3	0	0	0	4	
Q14643	ITPR1_HUMAN	Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)	Homo sapiens	ITPR1	INSP3R1,ITPR1	0	0	0	1	0	1	2	
Q14573	ITPR3_HUMAN	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	Homo sapiens	ITPR3	ITPR3	1	0	1	0	0	0	1	
P26440	IVD_HUMAN	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4)	Homo sapiens	IVD	IVD	3	0	2	0	0	0	2	
P78504	JAG1_HUMAN	Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339)	Homo sapiens	JAG1	JAGL1,JAG1	1	0	1	0	0	0	2	
P23458	JAK1_HUMAN	Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)	Homo sapiens	JAK1	JAK1B,JAK1A,JAK1	3	0	3	0	0	0	2	
Q9Y624	JAM1_HUMAN	Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)	Homo sapiens	F11R	UNQ264/PRO301,JCAM,JAM1,F11R	2	0	2	0	0	0	1	
P57087	JAM2_HUMAN	Junctional adhesion molecule B (JAM-B) (Junctional adhesion molecule 2) (JAM-2) (Vascular endothelial junction-associated molecule) (VE-JAM) (CD antigen CD322)	Homo sapiens	JAM2	UNQ219/PRO245,VEJAM,C21orf43,JAM2	1	0	1	0	0	0	2	
Q9BX67	JAM3_HUMAN	Junctional adhesion molecule C (JAM-C) (JAM-2) (Junctional adhesion molecule 3) (JAM-3) [Cleaved into: Soluble form of JAM-C (sJAM-C)]	Homo sapiens	JAM3	UNQ859/PRO1868,JAM3	5	0	4	4	2	1	4	264,265
Q86YT9	JAML_HUMAN	Junctional adhesion molecule-like (Adhesion molecule interacting with CXADR antigen 1) (Dendritic cell-specific protein CREA7-1)	Homo sapiens	JAML	UNQ722/PRO1387,JAML,AMICA1	1	0	1	0	0	0	2	
Q15397	PUM3_HUMAN	Pumilio homolog 3 (HBV X-transactivated gene 5 protein) (HBV XAg-transactivated protein 5) (Minor histocompatibility antigen HA-8) (HLA-HA8)	Homo sapiens	PUM3	XTP5,KIAA0020,cPERP-C,PUM3,PUF-A	4	0	2	0	0	0	3	
A6NCN2	KR87P_HUMAN	Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)	Homo sapiens	KRT87P	KRT121P,KRTHBP4,KRT87P	1	0	1	0	0	0	1	
Q9ULG3	K1257_HUMAN	Uncharacterized protein KIAA1257	Homo sapiens	KIAA1257	KIAA1257	1	0	1	0	0	0	1	
Q6P9B6	MEAK7_HUMAN	MTOR-associated protein MEAK7 (MEAK7) (MTOR associated protein, eak-7 homolog) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1)	Homo sapiens	TLDC1	MEAK7,TLDC1,KIAA1609	1	0	1	0	0	0	1	
Q9BY89	K1671_HUMAN	Uncharacterized protein KIAA1671	Homo sapiens	KIAA1671	KIAA1671	1	0	1	0	0	0	2	
Q8N163	CCAR2_HUMAN	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	Homo sapiens	CCAR2	CCAR2,DBC1,KIAA1967	5	0	3	0	0	0	3	
P13645	K1C10_HUMAN	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	Homo sapiens	KRT10	KPP,KRT10	3	0	3	0	0	0	1	
Q99456	K1C12_HUMAN	Keratin, type I cytoskeletal 12 (Cytokeratin-12) (CK-12) (Keratin-12) (K12)	Homo sapiens	KRT12	KRT12	1	0	1	0	0	0	1	
P13646	K1C13_HUMAN	Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	Homo sapiens	KRT13	KRT13	1	0	1	0	0	0	1	
P02533	K1C14_HUMAN	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Homo sapiens	KRT14	KRT14	2	0	2	0	0	0	1	
P19012	K1C15_HUMAN	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	Homo sapiens	KRT15	KRTB,KRT15	1	0	1	0	0	0	1	
P08779	K1C16_HUMAN	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	Homo sapiens	KRT16	KRT16A,KRT16	1	0	1	0	0	0	1	
Q04695	K1C17_HUMAN	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	Homo sapiens	KRT17	KRT17	1	0	1	0	0	0	1	
P05783	K1C18_HUMAN	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Homo sapiens	KRT18	PIG46,CYK18,KRT18	2	0	2	0	0	0	2	
P08727	K1C19_HUMAN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	Homo sapiens	KRT19	KRT19	1	0	1	0	0	0	1	
P35900	K1C20_HUMAN	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20) (Protein IT)	Homo sapiens	KRT20	KRT20	1	0	1	0	0	0	1	
Q9C075	K1C23_HUMAN	Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)	Homo sapiens	KRT23	KRT23	1	0	1	0	0	0	1	
Q7Z3Z0	K1C25_HUMAN	Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Keratin-25A) (K25A) (Type I inner root sheath-specific keratin-K25irs1)	Homo sapiens	KRT25	KRT25A,KRT25	1	0	1	0	0	0	1	
Q7Z3Y9	K1C26_HUMAN	Keratin, type I cytoskeletal 26 (Cytokeratin-26) (CK-26) (Keratin-25B) (K25B) (Keratin-26) (K26) (Type I inner root sheath-specific keratin-K25irs2)	Homo sapiens	KRT26	KRT25B,KRT26	1	0	1	0	0	0	1	
Q7Z3Y8	K1C27_HUMAN	Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)	Homo sapiens	KRT27	KRT25C,KRT27	1	0	1	0	0	0	1	
Q7Z3Y7	K1C28_HUMAN	Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-25D) (K25D) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)	Homo sapiens	KRT28	KRT25D,KRT28	1	0	1	0	0	0	1	
Q6A162	K1C40_HUMAN	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	Homo sapiens	KRT40	KA36,KRT40	2	0	2	0	0	0	2	
P35527	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	Homo sapiens	KRT9	KRT9	3	0	3	0	0	0	1	
Q15323	K1H1_HUMAN	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	Homo sapiens	KRT31	KRTHA1,HKA1,HHA1,KRT31	1	0	1	0	0	0	1	
Q8IYS2	K2013_HUMAN	Uncharacterized protein KIAA2013	Homo sapiens	KIAA2013	KIAA2013	13	0	9	0	0	0	3	
P35908	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	Homo sapiens	KRT2	KRT2E,KRT2A,KRT2	2	0	2	0	0	0	1	
Q01546	K22O_HUMAN	Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)	Homo sapiens	KRT76	KRT2P,KRT2B,KRT76	1	0	1	0	0	0	1	
Q7Z794	K2C1B_HUMAN	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)	Homo sapiens	KRT77	KRT1B,KRT77	1	0	1	0	0	0	1	
P04264	K2C1_HUMAN	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	Homo sapiens	KRT1	KRTA,KRT1	2	0	2	0	0	0	1	
P12035	K2C3_HUMAN	Keratin, type II cytoskeletal 3 (65 kDa cytokeratin) (Cytokeratin-3) (CK-3) (Keratin-3) (K3) (Type-II keratin Kb3)	Homo sapiens	KRT3	KRT3	1	0	1	0	0	0	1	
P19013	K2C4_HUMAN	Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)	Homo sapiens	KRT4	CYK4,KRT4	1	0	1	0	0	0	1	
P13647	K2C5_HUMAN	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Homo sapiens	KRT5	KRT5	2	0	2	0	0	0	1	
P02538	K2C6A_HUMAN	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	Homo sapiens	KRT6A	KRT6D,K6A,KRT6A	1	0	1	0	0	0	1	
P04259	K2C6B_HUMAN	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	Homo sapiens	KRT6B	KRTL1,K6B,KRT6B	1	0	1	0	0	0	1	
P48668	K2C6C_HUMAN	Keratin, type II cytoskeletal 6C (Cytokeratin-6C) (CK-6C) (Cytokeratin-6E) (CK-6E) (Keratin K6h) (Keratin-6C) (K6C) (Type-II keratin Kb12)	Homo sapiens	KRT6C	KRT6E,KRT6C	2	0	2	0	0	0	1	
Q3SY84	K2C71_HUMAN	Keratin, type II cytoskeletal 71 (Cytokeratin-71) (CK-71) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (Keratin 6 irs) (hK6irs) (hK6irs1) (Type-II keratin Kb34)	Homo sapiens	KRT71	KRT6IRS1,KB34,K6IRS1,KRT71	1	0	1	0	0	0	1	
Q14CN4	K2C72_HUMAN	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	Homo sapiens	KRT72	KRT6IRS2,KRT6,KB35,K6IRS2,KRT72	1	0	1	0	0	0	1	
Q86Y46	K2C73_HUMAN	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	Homo sapiens	KRT73	KRT6IRS3,KB36,K6IRS3,KRT73	1	0	1	0	0	0	1	
Q7RTS7	K2C74_HUMAN	Keratin, type II cytoskeletal 74 (Cytokeratin-74) (CK-74) (Keratin-5c) (K5C) (Keratin-74) (K74) (Type II inner root sheath-specific keratin-K6irs4) (Type-II keratin Kb37)	Homo sapiens	KRT74	KRT6IRS4,KRT5C,KB37,K6IRS4,KRT74	1	0	1	0	0	0	1	
O95678	K2C75_HUMAN	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	Homo sapiens	KRT75	KB18,K6HF,KRT75	1	0	1	0	0	0	1	
Q8N1N4	K2C78_HUMAN	Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)	Homo sapiens	KRT78	KB40,K5B,KRT78	1	0	1	0	0	0	1	
Q5XKE5	K2C79_HUMAN	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)	Homo sapiens	KRT79	KRT6L,KB38,K6L,KRT79	1	0	1	0	0	0	1	
P08729	K2C7_HUMAN	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)	Homo sapiens	KRT7	SCL,KRT7	1	0	1	0	0	0	1	
P05787	K2C8_HUMAN	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	Homo sapiens	KRT8	CYK8,KRT8	1	0	1	0	0	0	1	
Q8IZA0	K319L_HUMAN	Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR)	Homo sapiens	KIAA0319L	PP791,KIAA1837,KIAA0319L,AAVR	4	0	3	0	0	0	3	
P08237	PFKAM_HUMAN	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	Homo sapiens	PFKM	PFKX,PFKM	1	0	1	0	0	0	1	
P17858	PFKAL_HUMAN	ATP-dependent 6-phosphofructokinase, liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase)	Homo sapiens	PFKL	PFKL	1	0	1	0	0	0	2	
Q01813	PFKAP_HUMAN	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	Homo sapiens	PFKP	PFKF,PFKP	8	1	5	0	0	0	5	123
P00568	KAD1_HUMAN	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	Homo sapiens	AK1	AK1	1	0	1	0	0	0	2	
P54819	KAD2_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	Homo sapiens	AK2	ADK2,AK2	5	0	3	0	0	0	4	
O60229	KALRN_HUMAN	Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)	Homo sapiens	KALRN	TRAD,HAPIP,DUO,DUET,KALRN	1	0	1	0	0	0	1	
Q14678	KANK1_HUMAN	KN motif and ankyrin repeat domain-containing protein 1 (Ankyrin repeat domain-containing protein 15) (Kidney ankyrin repeat-containing protein)	Homo sapiens	KANK1	KIAA0172,KANK,ANKRD15,KANK1	1	0	1	0	0	0	1	
P10644	KAP0_HUMAN	cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1)	Homo sapiens	PRKAR1A	TSE1,PRKAR1,PKR1,PRKAR1A	4	0	2	0	0	0	4	
P13861	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	Homo sapiens	PRKAR2A	PRKAR2,PKR2,PRKAR2A	1	0	1	0	0	0	1	
P17612	KAPCA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Homo sapiens	PRKACA	PKACA,PRKACA	1	0	1	0	0	0	1	
P22694	KAPCB_HUMAN	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	Homo sapiens	PRKACB	PRKACB	1	0	1	0	0	0	1	
O95251	KAT7_HUMAN	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)	Homo sapiens	KAT7	MYST2,HBOa,HBO1,KAT7	2	0	1	0	0	0	2	
Q96EK5	KBP_HUMAN	KIF1-binding protein	Homo sapiens	KIF1BP	KBP,KIAA1279,KIF1BP	1	0	1	0	0	0	1	
O94819	KBTBB_HUMAN	Kelch repeat and BTB domain-containing protein 11 (Chronic myelogenous leukemia-associated protein) (Kelch domain-containing protein 7B)	Homo sapiens	KBTBD11	KLHDC7C,KIAA0711,CMLAP,KBTBD11	1	0	1	0	0	0	1	
P48729	KC1A_HUMAN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	Homo sapiens	CSNK1A1	CSNK1A1	3	0	2	0	0	0	3	
Q9HCP0	KC1G1_HUMAN	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	Homo sapiens	CSNK1G1	CSNK1G1	8	0	5	0	0	0	4	
P78368	KC1G2_HUMAN	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	Homo sapiens	CSNK1G2	CK1G2,CSNK1G2	11	0	6	0	0	0	4	
Q9Y6M4	KC1G3_HUMAN	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	Homo sapiens	CSNK1G3	CSNK1G3	22	0	8	0	0	0	3	
Q13557	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	Homo sapiens	CAMK2D	CAMKD,CAMK2D	1	0	1	0	0	0	2	
Q12791	KCMA1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)	Homo sapiens	KCNMA1	SLO,KCNMA,KCNMA1	1	0	1	0	0	0	2	
Q86W47	KCMB4_HUMAN	Calcium-activated potassium channel subunit beta-4 (BK channel subunit beta-4) (BKbeta4) (Hbeta4) (Calcium-activated potassium channel, subfamily M subunit beta-4) (Charybdotoxin receptor subunit beta-4) (K(VCA)beta-4) (Maxi K channel subunit beta-4) (Slo-beta-4)	Homo sapiens	KCNMB4	KCNMB4	0	0	0	2	1	1	3	193
Q09470	KCNA1_HUMAN	Potassium voltage-gated channel subfamily A member 1 (Voltage-gated K(+) channel HuKI) (Voltage-gated potassium channel HBK1) (Voltage-gated potassium channel subunit Kv1.1)	Homo sapiens	KCNA1	KCNA1	0	0	0	1	1	1	3	243
P22460	KCNA5_HUMAN	Potassium voltage-gated channel subfamily A member 5 (HPCN1) (Voltage-gated potassium channel HK2) (Voltage-gated potassium channel subunit Kv1.5)	Homo sapiens	KCNA5	KCNA5	0	0	0	1	1	1	4	604
Q8TDN1	KCNG4_HUMAN	Potassium voltage-gated channel subfamily G member 4 (Voltage-gated potassium channel subunit Kv6.4)	Homo sapiens	KCNG4	KCNG3,KCNG4	1	0	1	0	0	0	1	
O00180	KCNK1_HUMAN	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	Homo sapiens	KCNK1	TWIK1,KCNO1,HOHO1,KCNK1	1	1	1	0	0	0	3	10
O15554	KCNN4_HUMAN	Intermediate conductance calcium-activated potassium channel protein 4 (SK4) (SKCa 4) (SKCa4) (IKCa1) (IK1) (KCa3.1) (KCa4) (Putative Gardos channel)	Homo sapiens	KCNN4	SK4,KCA4,IKCA1,IK1,KCNN4	1	0	1	0	0	0	1	
P12277	KCRB_HUMAN	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	Homo sapiens	CKB	CKBB,CKB	2	1	2	0	0	0	3	254
P12532	KCRU_HUMAN	Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)	Homo sapiens	CKMT1B	CKMT,CKMT1B,CKMT;,CKMT1A	3	0	2	0	0	0	3	
Q8NC54	KCT2_HUMAN	Keratinocyte-associated transmembrane protein 2	Homo sapiens	KCT2	HTGN29,C5orf15,KCT2	1	1	1	0	0	0	3	237
P30085	KCY_HUMAN	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	Homo sapiens	CMPK1	UMPK,UMK,UCK,CMPK,CMK,CMPK1	1	0	1	0	0	0	2	
Q9ULH0	KDIS_HUMAN	Kinase D-interacting substrate of 220 kDa (Ankyrin repeat-rich membrane-spanning protein)	Homo sapiens	KIDINS220	KIAA1250,ARMS,KIDINS220	5	0	2	0	0	0	1	
Q9Y2K7	KDM2A_HUMAN	Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A)	Homo sapiens	KDM2A	KIAA1004,JHDM1A,FBXL11,FBL7,CXXC8,KDM2A	2	0	1	0	0	0	2	
Q9Y4C1	KDM3A_HUMAN	Lysine-specific demethylase 3A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A)	Homo sapiens	KDM3A	TSGA,KIAA0742,JMJD1A,JMJD1,JHDM2A,KDM3A	1	0	1	0	0	0	2	
P29375	KDM5A_HUMAN	Lysine-specific demethylase 5A (EC 1.14.11.-) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2)	Homo sapiens	KDM5A	RBP2,RBBP2,JARID1A,KDM5A	1	0	1	0	0	0	1	
Q06136	KDSR_HUMAN	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)	Homo sapiens	KDSR	FVT1,KDSR,SDR35C1	3	0	2	0	0	0	3	
Q14145	KEAP1_HUMAN	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	Homo sapiens	KEAP1	KLHL19,KIAA0132,INRF2,KEAP1	2	0	1	0	0	0	2	
Q07666	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	Homo sapiens	KHDRBS1	SAM68,KHDRBS1	5	0	3	0	0	0	3	
Q9NQT8	KI13B_HUMAN	Kinesin-like protein KIF13B (Kinesin-like protein GAKIN)	Homo sapiens	KIF13B	KIAA0639,GAKIN,KIF13B	1	0	1	0	0	0	1	
P43630	KI3L2_HUMAN	Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (MHC class I NK cell receptor) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k)	Homo sapiens	KIR3DL2	NKAT4,CD158K,KIR3DL2	1	0	1	0	0	0	2	
P46013	KI67_HUMAN	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	Homo sapiens	MKI67	MKI67	4	1	2	0	0	0	3	1251
P52732	KIF11_HUMAN	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	Homo sapiens	KIF11	TRIP5,KNSL1,EG5,KIF11	4	0	3	0	0	0	1	
Q15058	KIF14_HUMAN	Kinesin-like protein KIF14	Homo sapiens	KIF14	KIAA0042,KIF14	1	0	1	0	0	0	1	
Q12756	KIF1A_HUMAN	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104)	Homo sapiens	KIF1A	C2orf20,ATSV,KIF1A	1	0	1	0	0	0	1	
O60333	KIF1B_HUMAN	Kinesin-like protein KIF1B (Klp)	Homo sapiens	KIF1B	KIAA1448,KIAA0591,KIF1B	1	0	1	0	0	0	1	
Q02241	KIF23_HUMAN	Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1)	Homo sapiens	KIF23	MKLP1,KNSL5,KIF23	3	0	1	0	0	0	1	
Q99661	KIF2C_HUMAN	Kinesin-like protein KIF2C (Kinesin-like protein 6) (Mitotic centromere-associated kinesin) (MCAK)	Homo sapiens	KIF2C	KNSL6,KIF2C	1	0	1	0	0	0	1	
O15066	KIF3B_HUMAN	Kinesin-like protein KIF3B (HH0048) (Microtubule plus end-directed kinesin motor 3B) [Cleaved into: Kinesin-like protein KIF3B, N-terminally processed]	Homo sapiens	KIF3B	KIAA0359,KIF3B	1	0	1	0	0	0	1	
Q12840	KIF5A_HUMAN	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)	Homo sapiens	KIF5A	NKHC1,KIF5A	1	0	1	0	0	0	1	
