Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
5712,H3BT25,H3BT25_HUMAN,unreviewed,"Pyruvate kinase PKM (Fragment)",PKM,"Homo sapiens (Human)",12
5713,H3BU13,H3BU13_HUMAN,unreviewed,"Pyruvate kinase PKM (Fragment)",PKM,"Homo sapiens (Human)",12
5542,O95398,RPGF3_HUMAN,reviewed,"Rap guanine nucleotide exchange factor 3 (Exchange factor directly activated by cAMP 1) (Exchange protein directly activated by cAMP 1) (EPAC 1) (Rap1 guanine-nucleotide-exchange factor directly activated by cAMP) (cAMP-regulated guanine nucleotide exchange factor I) (cAMP-GEFI)","RAPGEF3 CGEF1 EPAC EPAC1","Homo sapiens (Human)",12
5530,C9J8S3,C9J8S3_HUMAN,unreviewed,"Ras-related protein Rab-7a",RAB7A,"Homo sapiens (Human)",12
5541,O95294,RASL1_HUMAN,reviewed,"RasGAP-activating-like protein 1 (RAS protein activator like 1) (Ras GTPase-activating-like protein)","RASAL1 RASAL","Homo sapiens (Human)",12
5618,Q13546,RIPK1_HUMAN,reviewed,"Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1) (Serine/threonine-protein kinase RIP)","RIPK1 RIP RIP1","Homo sapiens (Human)",12
5670,Q5VT52,RPRD2_HUMAN,reviewed,"Regulation of nuclear pre-mRNA domain-containing protein 2","RPRD2 KIAA0460 HSPC099","Homo sapiens (Human)",12
5552,Q52LW3,RHG29_HUMAN,reviewed,"Rho GTPase-activating protein 29 (PTPL1-associated RhoGAP protein 1) (Rho-type GTPase-activating protein 29)","ARHGAP29 PARG1","Homo sapiens (Human)",12
5683,O95059,RPP14_HUMAN,reviewed,"Ribonuclease P protein subunit p14 (EC 3.1.26.5)",RPP14,"Homo sapiens (Human)",12
5473,Q53G83,Q53G83_HUMAN,unreviewed,"Ribosomal protein S3 variant (Fragment)",0,"Homo sapiens (Human)",12
5650,Q9ULX3,NOB1_HUMAN,reviewed,"RNA-binding protein NOB1 (Phosphorylation regulatory protein HP-10) (Protein ART-4)","NOB1 ART4 NOB1P PSMD8BP1 MSTP158","Homo sapiens (Human)",12
5582,Q9NRX1,PNO1_HUMAN,reviewed,"RNA-binding protein PNO1",PNO1,"Homo sapiens (Human)",12
5591,Q86VV8,RTTN_HUMAN,reviewed,Rotatin,RTTN,"Homo sapiens (Human)",12
5484,O14983,AT2A1_HUMAN,reviewed,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 3.6.3.8) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A1,"Homo sapiens (Human)",12
5629,O95969,SG1D2_HUMAN,reviewed,"Secretoglobin family 1D member 2 (Lipophilin-B)","SCGB1D2 LIPHB LPNB","Homo sapiens (Human)",12
5666,Q9NP81,SYSM_HUMAN,reviewed,"Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)","SARS2 SARSM","Homo sapiens (Human)",12
5710,H7C013,H7C013_HUMAN,unreviewed,"Serum albumin (Fragment)",ALB,"Homo sapiens (Human)",12
5548,P42226,STAT6_HUMAN,reviewed,"Signal transducer and activator of transcription 6 (IL-4 Stat)",STAT6,"Homo sapiens (Human)",12
5588,Q6IA17,SIGIR_HUMAN,reviewed,"Single Ig IL-1-related receptor (Single Ig IL-1R-related molecule) (Single immunoglobulin domain-containing IL1R-related protein) (Toll/interleukin-1 receptor 8) (TIR8)","SIGIRR UNQ301/PRO342","Homo sapiens (Human)",12
5520,Q567R6,Q567R6_HUMAN,unreviewed,"Single-stranded DNA-binding protein",SSBP1,"Homo sapiens (Human)",12
5627,P55854,SUMO3_HUMAN,reviewed,"Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)","SUMO3 SMT3A SMT3H1","Homo sapiens (Human)",12
5497,Q86WA9,S2611_HUMAN,reviewed,"Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11)",SLC26A11,"Homo sapiens (Human)",12
5667,Q8N697,S15A4_HUMAN,reviewed,"Solute carrier family 15 member 4 (Peptide transporter 4) (Peptide/histidine transporter 1) (hPHT1)","SLC15A4 PHT1 PTR4 FP12591","Homo sapiens (Human)",12
5641,Q9UGQ3,GTR6_HUMAN,reviewed,"Solute carrier family 2, facilitated glucose transporter member 6 (Glucose transporter type 6) (GLUT-6) (Glucose transporter type 9) (GLUT-9)","SLC2A6 GLUT9","Homo sapiens (Human)",12
5625,Q9BX66,SRBS1_HUMAN,reviewed,"Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)","SORBS1 KIAA0894 KIAA1296 SH3D5","Homo sapiens (Human)",12
5698,Q9Y343,SNX24_HUMAN,reviewed,"Sorting nexin-24","SNX24 SBBI31 UNQ654/PRO1284","Homo sapiens (Human)",12
5677,P35610,SOAT1_HUMAN,reviewed,"Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)","SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT","Homo sapiens (Human)",12
5605,O43426,SYNJ1_HUMAN,reviewed,"Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)","SYNJ1 KIAA0910","Homo sapiens (Human)",12
5536,P01730,CD4_HUMAN,reviewed,"T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)",CD4,"Homo sapiens (Human)",12
5589,Q96GM8,TOE1_HUMAN,reviewed,"Target of EGR1 protein 1",TOE1,"Homo sapiens (Human)",12
5654,Q9H1Z9,TSN10_HUMAN,reviewed,"Tetraspanin-10 (Tspan-10) (Oculospanin)","TSPAN10 OCSP","Homo sapiens (Human)",12
5503,Q9P2K2,TXD16_HUMAN,reviewed,"Thioredoxin domain-containing protein 16","TXNDC16 ERP90 KIAA1344","Homo sapiens (Human)",12
5691,Q9NXG2,THUM1_HUMAN,reviewed,"THUMP domain-containing protein 1",THUMPD1,"Homo sapiens (Human)",12
5535,O95049,ZO3_HUMAN,reviewed,"Tight junction protein ZO-3 (Tight junction protein 3) (Zona occludens protein 3) (Zonula occludens protein 3)","TJP3 ZO3","Homo sapiens (Human)",12
5676,G3V0E5,G3V0E5_HUMAN,unreviewed,"Transferrin receptor (P90, CD71), isoform CRA_c (Transferrin receptor protein 1)","TFRC hCG_22086","Homo sapiens (Human)",12
5674,E9PGT1,E9PGT1_HUMAN,unreviewed,Translin,TSN,"Homo sapiens (Human)",12
5513,Q15629,TRAM1_HUMAN,reviewed,"Translocating chain-associated membrane protein 1","TRAM1 TRAM","Homo sapiens (Human)",12
5511,Q5BJD5,TM41B_HUMAN,reviewed,"Transmembrane protein 41B","TMEM41B KIAA0033","Homo sapiens (Human)",12
5537,Q6UWD8,CP054_HUMAN,reviewed,"Transmembrane protein C16orf54","C16orf54 UNQ9389/PRO34280","Homo sapiens (Human)",12
5494,O43280,TREA_HUMAN,reviewed,"Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)","TREH TREA","Homo sapiens (Human)",12
5587,Q12899,TRI26_HUMAN,reviewed,"Tripartite motif-containing protein 26 (Acid finger protein) (AFP) (RING finger protein 95) (Zinc finger protein 173)","TRIM26 RNF95 ZNF173","Homo sapiens (Human)",12
5716,F8VRK0,F8VRK0_HUMAN,unreviewed,"Tubulin alpha-1B chain (Fragment)",TUBA1B,"Homo sapiens (Human)",12
5474,Q5JP53,Q5JP53_HUMAN,unreviewed,"Tubulin beta chain",TUBB,"Homo sapiens (Human)",12
5597,Q9BW30,TPPP3_HUMAN,reviewed,"Tubulin polymerization-promoting protein family member 3 (TPPP/p20)","TPPP3 CGI-38","Homo sapiens (Human)",12
5551,Q16890,TPD53_HUMAN,reviewed,"Tumor protein D53 (hD53) (Tumor protein D52-like 1)",TPD52L1,"Homo sapiens (Human)",12
5704,F5H442,F5H442_HUMAN,unreviewed,"Tumor susceptibility gene 101 protein",TSG101,"Homo sapiens (Human)",12
5602,O43914,TYOBP_HUMAN,reviewed,"TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)","TYROBP DAP12 KARAP","Homo sapiens (Human)",12
5617,Q01974,ROR2_HUMAN,reviewed,"Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)","ROR2 NTRKR2","Homo sapiens (Human)",12
5623,Q969X6,UTP4_HUMAN,reviewed,"U3 small nucleolar RNA-associated protein 4 homolog (Cirhin) (UTP4 small subunit processome component)","UTP4 CIRH1A cPERP-E KIAA1988","Homo sapiens (Human)",12
5656,Q9UK45,LSM7_HUMAN,reviewed,"U6 snRNA-associated Sm-like protein LSm7",LSM7,"Homo sapiens (Human)",12
5661,O75752,B3GL1_HUMAN,reviewed,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)","B3GALNT1 B3GALT3 UNQ531/PRO1074","Homo sapiens (Human)",12
5526,Q9NYU1,UGGG2_HUMAN,reviewed,"UDP-glucose:glycoprotein glucosyltransferase 2 (UGT2) (hUGT2) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase 2) (UDP-glucose ceramide glucosyltransferase-like 1)","UGGT2 UGCGL2 UGT2","Homo sapiens (Human)",12
5486,Q13402,MYO7A_HUMAN,reviewed,"Unconventional myosin-VIIa","MYO7A USH1B","Homo sapiens (Human)",12
5679,Q9GZN8,CT027_HUMAN,reviewed,"UPF0687 protein C20orf27",C20orf27,"Homo sapiens (Human)",12
5631,Q9H3H3,CK068_HUMAN,reviewed,"UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)","C11orf68 BLES03","Homo sapiens (Human)",12
5479,Q13336,UT1_HUMAN,reviewed,"Urea transporter 1 (Solute carrier family 14 member 1) (Urea transporter, erythrocyte)","SLC14A1 HUT11 JK RACH1 UT1 UTE","Homo sapiens (Human)",12
5499,Q8NEY4,VATC2_HUMAN,reviewed,"V-type proton ATPase subunit C 2 (V-ATPase subunit C 2) (Vacuolar proton pump subunit C 2)",ATP6V1C2,"Homo sapiens (Human)",12
5508,Q8N3P4,VPS8_HUMAN,reviewed,"Vacuolar protein sorting-associated protein 8 homolog","VPS8 KIAA0804","Homo sapiens (Human)",12
5619,Q68DQ2,CRBG3_HUMAN,reviewed,"Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3)",CRYBG3,"Homo sapiens (Human)",12
5651,P04070,PROC_HUMAN,reviewed,"Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]",PROC,"Homo sapiens (Human)",12
5558,Q8TF74,WIPF2_HUMAN,reviewed,"WAS/WASL-interacting protein family member 2 (WASP-interacting protein-related protein) (WIP- and CR16-homologous protein) (WIP-related protein)","WIPF2 WICH WIRE PP10631","Homo sapiens (Human)",12
5640,O75717,WDHD1_HUMAN,reviewed,"WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1)","WDHD1 AND1","Homo sapiens (Human)",12
5607,Q6ZS81,WDFY4_HUMAN,reviewed,"WD repeat- and FYVE domain-containing protein 4","WDFY4 C10orf64 KIAA1607","Homo sapiens (Human)",12
5911,P82673,RT35_HUMAN,reviewed,"28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt) (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (Mitochondrial small ribosomal subunit protein mS35)","MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213","Homo sapiens (Human)",11
5905,Q9P015,RM15_HUMAN,reviewed,"39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein uL15m)","MRPL15 HSPC145","Homo sapiens (Human)",11
5940,E9PPU1,E9PPU1_HUMAN,unreviewed,"40S ribosomal protein S3",RPS3,"Homo sapiens (Human)",11
5975,H0YFX4,H0YFX4_HUMAN,unreviewed,"4F2 cell-surface antigen heavy chain (Fragment)",SLC3A2,"Homo sapiens (Human)",11
5815,Q9Y478,AAKB1_HUMAN,reviewed,"5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)","PRKAB1 AMPK","Homo sapiens (Human)",11
5943,E7EPB3,E7EPB3_HUMAN,unreviewed,"60S ribosomal protein L14",RPL14,"Homo sapiens (Human)",11
5761,B2R4D8,B2R4D8_HUMAN,unreviewed,"60S ribosomal protein L27",0,"Homo sapiens (Human)",11
5827,P58397,ATS12_HUMAN,reviewed,"A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12) (EC 3.4.24.-)","ADAMTS12 UNQ1918/PRO4389","Homo sapiens (Human)",11
5849,Q9P2A4,ABI3_HUMAN,reviewed,"ABI gene family member 3 (New molecule including SH3) (Nesh)","ABI3 NESH","Homo sapiens (Human)",11
5843,P36896,ACV1B_HUMAN,reviewed,"Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)","ACVR1B ACVRLK4 ALK4","Homo sapiens (Human)",11
5946,Q5T8D3,ACBD5_HUMAN,reviewed,"Acyl-CoA-binding domain-containing protein 5","ACBD5 KIAA1996","Homo sapiens (Human)",11
5771,O60242,AGRB3_HUMAN,reviewed,"Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)","ADGRB3 BAI3 KIAA0550","Homo sapiens (Human)",11
5801,Q5T601,AGRF1_HUMAN,reviewed,"Adhesion G-protein coupled receptor F1 (G-protein coupled receptor 110) (G-protein coupled receptor KPG_012) (G-protein coupled receptor PGR19)","ADGRF1 GPR110 PGR19","Homo sapiens (Human)",11
5883,Q66PJ3,AR6P4_HUMAN,reviewed,"ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37)",ARL6IP4,"Homo sapiens (Human)",11
5823,Q13795,ARFRP_HUMAN,reviewed,"ADP-ribosylation factor-related protein 1 (ARF-related protein 1) (ARP)","ARFRP1 ARP1","Homo sapiens (Human)",11
5784,F5GXS2,F5GXS2_HUMAN,unreviewed,Alpha-actinin-4,ACTN4,"Homo sapiens (Human)",11
5982,H0YM50,H0YM50_HUMAN,unreviewed,"Annexin (Fragment)",ANXA2,"Homo sapiens (Human)",11
5989,H0YN52,H0YN52_HUMAN,unreviewed,"Annexin (Fragment)",ANXA2,"Homo sapiens (Human)",11
5983,H0YNB8,H0YNB8_HUMAN,unreviewed,"Annexin A2 (Fragment)",ANXA2,"Homo sapiens (Human)",11
5743,Q6IWH7,ANO7_HUMAN,reviewed,"Anoctamin-7 (Dresden transmembrane protein of the prostate) (D-TMPP) (IPCA-5) (New gene expressed in prostate) (Prostate cancer-associated protein 5) (Transmembrane protein 16G)","ANO7 NGEP PCANAP5 TMEM16G","Homo sapiens (Human)",11
5730,Q05BR2,Q05BR2_HUMAN,unreviewed,"ANXA1 protein",ANXA1,"Homo sapiens (Human)",11
5731,Q6LEJ8,Q6LEJ8_HUMAN,unreviewed,"APOA1 protein (Apolipoprotein A1) (Fragment)",APOA1,"Homo sapiens (Human)",11
5929,F8W696,F8W696_HUMAN,unreviewed,"Apolipoprotein A-I",APOA1,"Homo sapiens (Human)",11
5717,O15296,LX15B_HUMAN,reviewed,"Arachidonate 15-lipoxygenase B (15-LOX-B) (EC 1.13.11.33) (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-)",ALOX15B,"Homo sapiens (Human)",11
5739,Q6PL18,ATAD2_HUMAN,reviewed,"ATPase family AAA domain-containing protein 2 (EC 3.6.1.3) (AAA nuclear coregulator cancer-associated protein) (ANCCA)","ATAD2 L16 PRO2000","Homo sapiens (Human)",11
5958,P20594,ANPRB_HUMAN,reviewed,"Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)","NPR2 ANPRB","Homo sapiens (Human)",11
5951,Q9H1Y0,ATG5_HUMAN,reviewed,"Autophagy protein 5 (APG5-like) (Apoptosis-specific protein)","ATG5 APG5L ASP","Homo sapiens (Human)",11
5861,Q676U5,A16L1_HUMAN,reviewed,"Autophagy-related protein 16-1 (APG16-like 1)","ATG16L1 APG16L UNQ9393/PRO34307","Homo sapiens (Human)",11
5862,Q96BY7,ATG2B_HUMAN,reviewed,"Autophagy-related protein 2 homolog B","ATG2B C14orf103","Homo sapiens (Human)",11
5724,P11836,CD20_HUMAN,reviewed,"B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20)","MS4A1 CD20","Homo sapiens (Human)",11
5759,Q54A51,Q54A51_HUMAN,unreviewed,"Basigin (Ok blood group), isoform CRA_a (Cervical EMMPRIN) (cDNA FLJ36018 fis, clone TESTI2016337, highly similar to BASIGIN)","hEMMPRIN BSG hCG_20562","Homo sapiens (Human)",11
5793,O60512,B4GT3_HUMAN,reviewed,"Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]",B4GALT3,"Homo sapiens (Human)",11
5840,Q13873,BMPR2_HUMAN,reviewed,"Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)","BMPR2 PPH1","Homo sapiens (Human)",11
5863,Q7Z401,MYCPP_HUMAN,reviewed,"C-myc promoter-binding protein (DENN domain-containing protein 4A)","DENND4A IRLB MYCPBP","Homo sapiens (Human)",11
5922,Q9NYQ6,CELR1_HUMAN,reviewed,"Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2)","CELSR1 CDHF9 FMI2","Homo sapiens (Human)",11
5936,Q9HA72,CAHM2_HUMAN,reviewed,"Calcium homeostasis modulator protein 2 (Protein FAM26B)","CALHM2 FAM26B","Homo sapiens (Human)",11
5800,Q14CN2,CLCA4_HUMAN,reviewed,"Calcium-activated chloride channel regulator 4 (EC 3.4.-.-) (Calcium-activated chloride channel family member 4) (hCLCA4) (Calcium-activated chloride channel protein 2) (CaCC-2) (hCaCC-2) (Chloride channel accessory 4) [Cleaved into: Calcium-activated chloride channel regulator 4, 110 kDa form; Calcium-activated chloride channel regulator 4, 30 kDa form]","CLCA4 CaCC2 UNQ562/PRO1124","Homo sapiens (Human)",11
5944,Q13554,KCC2B_HUMAN,reviewed,"Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)","CAMK2B CAM2 CAMK2 CAMKB","Homo sapiens (Human)",11
5970,P0DP24,CALM2_HUMAN,reviewed,Calmodulin-2,"CALM2 CAM2 CAMB","Homo sapiens (Human)",11
5735,Q9BUB1,KAP2_HUMAN,reviewed,"cAMP-dependent protein kinase type II-alpha regulatory subunit","PRKAR2A PKR2 PRKAR2","Homo sapiens (Human)",11
5736,P07451,CAH3_HUMAN,reviewed,"Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III)",CA3,"Homo sapiens (Human)",11
5770,Q8N3K9,CMYA5_HUMAN,reviewed,"Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76)","CMYA5 C5orf10 DTNBP2 SPRYD2 TRIM76","Homo sapiens (Human)",11
5945,E7EU96,E7EU96_HUMAN,unreviewed,"Casein kinase II subunit alpha",CSNK2A1,"Homo sapiens (Human)",11
5728,B4DPH9,B4DPH9_HUMAN,unreviewed,"cDNA FLJ55895, highly similar to Ras-related protein Rab-7",0,"Homo sapiens (Human)",11
5973,B4DIT7,B4DIT7_HUMAN,unreviewed,"cDNA FLJ58187, highly similar to Protein-glutamine gamma-glutamyltransferase 2(EC 2.3.2.13)",0,"Homo sapiens (Human)",11
5762,B4DRS2,B4DRS2_HUMAN,unreviewed,"cDNA FLJ58275, highly similar to Keratin, type II cytoskeletal 4",0,"Homo sapiens (Human)",11
5758,B2R8A2,B2R8A2_HUMAN,unreviewed,"cDNA, FLJ93804, highly similar to Homo sapiens gp25L2 protein (HSGP25L2G), mRNA",0,"Homo sapiens (Human)",11
5856,Q7Z7K6,CENPV_HUMAN,reviewed,"Centromere protein V (CENP-V) (Nuclear protein p30) (Proline-rich protein 6)","CENPV PRR6","Homo sapiens (Human)",11
5919,Q96G23,CERS2_HUMAN,reviewed,"Ceramide synthase 2 (CerS2) (LAG1 longevity assurance homolog 2) (SP260) (Tumor metastasis-suppressor gene 1 protein)","CERS2 LASS2 TMSG1","Homo sapiens (Human)",11
5952,Q13112,CAF1B_HUMAN,reviewed,"Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60) (M-phase phosphoprotein 7)","CHAF1B CAF1A CAF1P60 MPHOSPH7 MPP7","Homo sapiens (Human)",11
5732,Q75L79,Q75L79_HUMAN,unreviewed,Claudin,"CLDN3 hCG_1737329","Homo sapiens (Human)",11
5838,P56747,CLD6_HUMAN,reviewed,"Claudin-6 (Skullin)","CLDN6 UNQ757/PRO1488","Homo sapiens (Human)",11
5896,P08709,FA7_HUMAN,reviewed,"Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]",F7,"Homo sapiens (Human)",11
5950,Q96MW1,CCD43_HUMAN,reviewed,"Coiled-coil domain-containing protein 43",CCDC43,"Homo sapiens (Human)",11
5887,P20849,CO9A1_HUMAN,reviewed,"Collagen alpha-1(IX) chain",COL9A1,"Homo sapiens (Human)",11
5897,Q9BXI9,C1QT6_HUMAN,reviewed,"Complement C1q tumor necrosis factor-related protein 6","C1QTNF6 CTRP6 UNQ581/PRO1151","Homo sapiens (Human)",11
5988,M0R0Q9,M0R0Q9_HUMAN,unreviewed,"Complement C3 (Fragment)",C3,"Homo sapiens (Human)",11
5927,Q5U5X0,LYRM7_HUMAN,reviewed,"Complex III assembly factor LYRM7 (LYR motif-containing protein 7)","LYRM7 C5orf31 MZM1L","Homo sapiens (Human)",11
5744,O95741,CPNE6_HUMAN,reviewed,"Copine-6 (Copine VI) (Neuronal-copine) (N-copine)",CPNE6,"Homo sapiens (Human)",11
5718,Q05DL8,Q05DL8_HUMAN,unreviewed,"CPNE3 protein (Fragment)",CPNE3,"Homo sapiens (Human)",11
5841,Q69YN2,C19L1_HUMAN,reviewed,"CWF19-like protein 1 (C19L1)",CWF19L1,"Homo sapiens (Human)",11
5959,P61024,CKS1_HUMAN,reviewed,"Cyclin-dependent kinases regulatory subunit 1 (CKS-1)","CKS1B CKS1 PNAS-143 PNAS-16","Homo sapiens (Human)",11
5737,Q6IB90,CYTA_HUMAN,reviewed,"Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]","CSTA STF1 STFA","Homo sapiens (Human)",11
5845,Q9H0B8,CRLD2_HUMAN,reviewed,"Cysteine-rich secretory protein LCCL domain-containing 2 (Cysteine-rich secretory protein 11) (CRISP-11) (LCCL domain-containing cysteine-rich secretory protein 2)","CRISPLD2 CRISP11 LCRISP2 UNQ2914/PRO1156/PRO9783","Homo sapiens (Human)",11
5907,P07919,QCR6_HUMAN,reviewed,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",UQCRH,"Homo sapiens (Human)",11
5742,P49447,CY561_HUMAN,reviewed,"Cytochrome b561 (Cytochrome b-561)",CYB561,"Homo sapiens (Human)",11
5722,Q8IUI8,CRLF3_HUMAN,reviewed,"Cytokine receptor-like factor 3 (Cytokine receptor-like molecule 9) (CREME-9) (Cytokine receptor-related protein 4) (Type I cytokine receptor-like factor p48)","CRLF3 CREME9 CRLM9 CYTOR4 P48","Homo sapiens (Human)",11
5918,Q6IAN0,DRS7B_HUMAN,reviewed,"Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1)","DHRS7B SDR32C1 CGI-93 UNQ212/PRO238","Homo sapiens (Human)",11
5725,P23743,DGKA_HUMAN,reviewed,"Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha)","DGKA DAGK DAGK1","Homo sapiens (Human)",11
5836,P62487,RPB7_HUMAN,reviewed,"DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)","POLR2G RPB7","Homo sapiens (Human)",11
5902,Q9UBS3,DNJB9_HUMAN,reviewed,"DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1)","DNAJB9 MDG1 UNQ743/PRO1471","Homo sapiens (Human)",11
5851,O14972,DSCR3_HUMAN,reviewed,"Down syndrome critical region protein 3 (Down syndrome critical region protein A)","DSCR3 DCRA DSCRA","Homo sapiens (Human)",11
5877,O15344,TRI18_HUMAN,reviewed,"E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (Midin) (Putative transcription factor XPRF) (RING finger protein 59) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18)","MID1 FXY RNF59 TRIM18 XPRF","Homo sapiens (Human)",11
